~~NOTOC~~
======Moves======
<WRAP leftalign>
<button type="success" size="lg">[[dex:pokedex|Return to the main Pokédex Navigation page]]</button>
</WRAP>
\\

Use the Search option in this section to browse within the table. You can also sort the table alphabetically by clicking on a column's title.

Click on a link to access the section of the corresponding move.

<datatables buttons='[]'>
<WRAP tablewidth 100%>
^ All Moves ^^
^ Name ^ Type ^ Category ^ Power ^ Acc ^ PP ^
| **[[movedex:1|Absorb]]** | {{gameplay:types:en_Grass.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 20 | 100 | 25 |
| **[[movedex:2|Accelerock]]** | {{gameplay:types:en_Rock.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 40 | 100 | 20 |
| **[[movedex:3|Acid]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 40 | 100 | 30 |
| **[[movedex:4|Acid Armor]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:5|Acid Spray]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 40 | 100 | 20 |
| **[[movedex:6|Acrobatics]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 55 | 100 | 15 |
| **[[movedex:7|Acupressure]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 30 |
| **[[movedex:8|Aerial Ace]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | — | 20 |
| **[[movedex:9|Aeroblast]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 100 | 95 | 5 |
| **[[movedex:10|After You]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 15 |
| **[[movedex:11|Agility]]** | {{gameplay:types:en_Psychic.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 30 |
| **[[movedex:12|Air Cutter]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 60 | 95 | 25 |
| **[[movedex:13|Air Slash]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 75 | 95 | 15 |
| **[[movedex:14|Alluring Voice]]** | {{gameplay:types:en_Fairy.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 80 | 100 | 10 |
| **[[movedex:15|Ally Switch]]** | {{gameplay:types:en_Psychic.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 15 |
| **[[movedex:16|Amnesia]]** | {{gameplay:types:en_Psychic.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:17|Anchor Shot]]** | {{gameplay:types:en_Steel.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 80 | 100 | 20 |
| **[[movedex:18|Ancient Power]]** | {{gameplay:types:en_Rock.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 60 | 100 | 5 |
| **[[movedex:19|Apple Acid]]** | {{gameplay:types:en_Grass.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 80 | 100 | 10 |
| **[[movedex:20|Aqua Cutter]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 70 | 100 | 20 |
| **[[movedex:21|Aqua Jet]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 40 | 100 | 20 |
| **[[movedex:22|Aqua Ring]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:23|Aqua Step]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 80 | 100 | 10 |
| **[[movedex:24|Aqua Tail]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 90 | 90 | 10 |
| **[[movedex:25|Arm Thrust]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 15 | 100 | 20 |
| **[[movedex:26|Armor Cannon]]** | {{gameplay:types:en_Fire.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 120 | 100 | 5 |
| **[[movedex:27|Aromatherapy]]** | {{gameplay:types:en_Grass.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 5 |
| **[[movedex:28|Aromatic Mist]]** | {{gameplay:types:en_Fairy.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:29|Assist]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:30|Assurance]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | 100 | 10 |
| **[[movedex:31|Astonish]]** | {{gameplay:types:en_Ghost.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 30 | 100 | 15 |
| **[[movedex:32|Astral Barrage]]** | {{gameplay:types:en_Ghost.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 120 | 100 | 5 |
| **[[movedex:33|Attack Order]]** | {{gameplay:types:en_Bug.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 90 | 100 | 15 |
| **[[movedex:34|Attract]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 100 | 15 |
| **[[movedex:35|Aura Sphere]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 80 | — | 20 |
| **[[movedex:36|Aura Wheel]]** | {{gameplay:types:en_Electric.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 110 | 100 | 10 |
| **[[movedex:37|Aurora Beam]]** | {{gameplay:types:en_Ice.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 65 | 100 | 20 |
| **[[movedex:38|Aurora Veil]]** | {{gameplay:types:en_Ice.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:39|Autotomize]]** | {{gameplay:types:en_Steel.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 15 |
| **[[movedex:40|Avalanche]]** | {{gameplay:types:en_Ice.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | 100 | 10 |
| **[[movedex:41|Axe Kick]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 120 | 90 | 10 |
| **[[movedex:42|Baby-Doll Eyes]]** | {{gameplay:types:en_Fairy.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 100 | 30 |
| **[[movedex:43|Baddy Bad]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 80 | 95 | 15 |
| **[[movedex:44|Baneful Bunker]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 10 |
| **[[movedex:45|Barb Barrage]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | 100 | 10 |
| **[[movedex:46|Barrage]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 15 | 85 | 20 |
| **[[movedex:47|Barrier]]** | {{gameplay:types:en_Psychic.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:48|Baton Pass]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 40 |
| **[[movedex:49|Beak Blast]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 100 | 100 | 15 |
| **[[movedex:50|Beat Up]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | — | 100 | 10 |
| **[[movedex:51|Behemoth Bash]]** | {{gameplay:types:en_Steel.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 100 | 100 | 5 |
| **[[movedex:52|Behemoth Blade]]** | {{gameplay:types:en_Steel.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 100 | 100 | 5 |
| **[[movedex:53|Belch]]** | {{gameplay:types:en_Poison.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 120 | 90 | 10 |
| **[[movedex:54|Belly Drum]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 10 |
| **[[movedex:55|Bestow]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 15 |
| **[[movedex:56|Bide]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | — | — | 10 |
| **[[movedex:57|Bind]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 15 | 85 | 20 |
| **[[movedex:58|Bite]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | 100 | 25 |
| **[[movedex:59|Bitter Blade]]** | {{gameplay:types:en_Fire.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 90 | 100 | 10 |
| **[[movedex:60|Bitter Malice]]** | {{gameplay:types:en_Ghost.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 75 | 100 | 10 |
| **[[movedex:61|Blast Burn]]** | {{gameplay:types:en_Fire.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 150 | 90 | 5 |
| **[[movedex:62|Blaze Kick]]** | {{gameplay:types:en_Fire.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 85 | 90 | 10 |
| **[[movedex:63|Blazing Torque]]** | {{gameplay:types:en_Fire.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 80 | 100 | 10 |
| **[[movedex:64|Bleakwind Storm]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 100 | 80 | 10 |
| **[[movedex:65|Blizzard]]** | {{gameplay:types:en_Ice.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 110 | 70 | 5 |
| **[[movedex:66|Block]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 5 |
| **[[movedex:67|Blood Moon]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 140 | 100 | 5 |
| **[[movedex:68|Blue Flare]]** | {{gameplay:types:en_Fire.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 130 | 85 | 5 |
| **[[movedex:69|Body Press]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 80 | 100 | 10 |
| **[[movedex:70|Body Slam]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 85 | 100 | 15 |
| **[[movedex:71|Bolt Beak]]** | {{gameplay:types:en_Electric.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 85 | 100 | 10 |
| **[[movedex:72|Bolt Strike]]** | {{gameplay:types:en_Electric.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 130 | 85 | 5 |
| **[[movedex:73|Bone Club]]** | {{gameplay:types:en_Ground.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 65 | 85 | 20 |
| **[[movedex:74|Bone Rush]]** | {{gameplay:types:en_Ground.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 25 | 90 | 10 |
| **[[movedex:75|Bonemerang]]** | {{gameplay:types:en_Ground.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 50 | 90 | 10 |
| **[[movedex:76|Boomburst]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 140 | 100 | 10 |
| **[[movedex:77|Bounce]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 85 | 85 | 5 |
| **[[movedex:78|Bouncy Bubble]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 60 | 100 | 20 |
| **[[movedex:79|Branch Poke]]** | {{gameplay:types:en_Grass.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 40 | 100 | 40 |
| **[[movedex:80|Brave Bird]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 120 | 100 | 15 |
| **[[movedex:81|Breaking Swipe]]** | {{gameplay:types:en_Dragon.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | 100 | 15 |
| **[[movedex:82|Brick Break]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 75 | 100 | 15 |
| **[[movedex:83|Brine]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 65 | 100 | 10 |
| **[[movedex:84|Brutal Swing]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | 100 | 20 |
| **[[movedex:85|Bubble]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 40 | 100 | 30 |
| **[[movedex:86|Bubble Beam]]** | {{gameplay:types:en_Water.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 65 | 100 | 20 |
| **[[movedex:87|Bug Bite]]** | {{gameplay:types:en_Bug.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | 100 | 20 |
| **[[movedex:88|Bug Buzz]]** | {{gameplay:types:en_Bug.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 90 | 100 | 10 |
| **[[movedex:89|Bulk Up]]** | {{gameplay:types:en_Fighting.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:90|Bulldoze]]** | {{gameplay:types:en_Ground.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 60 | 100 | 20 |
| **[[movedex:91|Bullet Punch]]** | {{gameplay:types:en_Steel.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 40 | 100 | 30 |
| **[[movedex:92|Bullet Seed]]** | {{gameplay:types:en_Grass.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 25 | 100 | 30 |
| **[[movedex:93|Burn Up]]** | {{gameplay:types:en_Fire.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 130 | 100 | 5 |
| **[[movedex:94|Burning Bulwark]]** | {{gameplay:types:en_Fire.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 10 |
| **[[movedex:95|Burning Jealousy]]** | {{gameplay:types:en_Fire.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 70 | 100 | 5 |
| **[[movedex:96|Buzzy Buzz]]** | {{gameplay:types:en_Electric.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 60 | 100 | 20 |
| **[[movedex:97|Calm Mind]]** | {{gameplay:types:en_Psychic.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:98|Camouflage]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:99|Captivate]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 100 | 20 |
| **[[movedex:100|Ceaseless Edge]]** | {{gameplay:types:en_Dark.png?nolink&40}} | {{:gameplay:types:move_Physical.png?nolink&40}} | 65 | 90 | 15 |
| **[[movedex:101|Celebrate]]** | {{gameplay:types:en_Normal.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 40 |
| **[[movedex:102|Charge]]** | {{gameplay:types:en_Electric.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | — | 20 |
| **[[movedex:103|Charge Beam]]** | {{gameplay:types:en_Electric.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 50 | 90 | 10 |
| **[[movedex:104|Charm]]** | {{gameplay:types:en_Fairy.png?nolink&40}} | {{:gameplay:types:move_Status.png?nolink&40}} | — | 100 | 20 |
| **[[movedex:105|Chatter]]** | {{gameplay:types:en_Flying.png?nolink&40}} | {{:gameplay:types:move_Special.png?nolink&40}} | 65 | 100 | 20 |
